연도,재배면적(ha)-사과,생산량(톤)-사과,농가수(가구)-사과,재배면적(ha)-배,생산량(톤)-배,농가수(가구)-배,재배면적(ha)-매실,생산량(톤)-매실,농가수(가구)-매실,재배면적(ha)-단감,생산량(톤)-단감,농가수(가구)-단감,재배면적(ha)-무,생산량(톤)-무,농가수(가구)-무,재배면적(ha)-당근,생산량(톤)-당근,농가수(가구)-당근,재배면적(ha)-배추,생산량(톤)-배추,농가수(가구)-배추,재배면적(ha)-상추,생산량(톤)-상추,농가수(가구)-상추,재배면적(ha)-시금치,생산량(톤)-시금치,농가수(가구)-시금치,재배면적(ha)-미나리,생산량(톤)-미나리,농가수(가구)-미나리,재배면적(ha)-오이,생산량(톤)-오이,농가수(가구)-오이,재배면적(ha)-수박,생산량(톤)-수박,농가수(가구)-수박,재배면적(ha)-고추,생산량(톤)-고추,농가수(가구)-고추,재배면적(ha)-마늘,생산량(톤)-마늘,농가수(가구)-마늘,재배면적(ha)-양파,생산량(톤)-양파,농가수(가구)-양파,재배면적(ha)-대파,생산량(톤)-대파,농가수(가구)-대파,재배면적(ha)-감자,생산량(톤)-감자,농가수(가구)-감자,재배면적(ha)-고구마,생산량(톤)-고구마,농가수(가구)-고구마,재배면적(ha)-콩,생산량(톤)-콩,농가수(가구)-콩,재배면적(ha)-상황,생산량(톤)-상황,농가수(가구)-상황,재배면적(ha)-새송이,생산량(톤)-새송이,농가수(가구)-새송이,재배면적(ha)-표고,생산량(톤)-표고,농가수(가구)-표고,재배면적(ha)-잎새,생산량(톤)-잎새,농가수(가구)-잎새,재배면적(ha)-목이,생산량(톤)-목이,농가수(가구)-목이,재배면적(ha)-딸기,생산량(톤)-딸기,농가수(가구)-딸기,재배면적(ha)-벼,생산량(톤)-벼,농가수(가구)-벼,출저,기준일자
2013,18,388,108,3,75,2,120,720,230,41.2,590,43,0.7,18,2,0,0,0,9.2,293,16,0,0,0,0,0,0,16,698,53,0,0,0,15.2,704,40,4.4,33,32,1.6,18.2,8,0,0,0,6.1,142,18,50.2,1403,60,0,0,0,30,53.9,29,0.6,7.9,2,0.26,186,2,0.5,18,11,0,0,0,0,0,0,14.2,374,34,0,0,0,기본현황,2021-07-30
2014,18,388,108,3,75,2,120,720,230,41.2,590,43,0.7,18,2,0,0,0,9.2,293,16,0.5,12,5,0,0,0,16,698,53,0,0,0,15.2,704,40,4.4,33,32,1.6,18.2,8,0,0,0,6.1,142,18,50.2,1403,60,0,0,0,59,90,29,0.6,7.9,2,0.26,186,2,0.5,18,11,0,0,0,0,0,0,25.9,777,43,0,0,0,기본현황,2021-07-30
2015,18,388,108,3,75,2,120,720,230,41.2,590,43,0.7,18,2,0,0,0,9.2,293,16,0.5,12,5,0,0,0,19,708,53,0,0,0,15,615,40,16.5,123,71,7.6,90.2,12,0,0,0,1.2,49,5,50.2,1403,60,0,0,0,59,90,29,0.6,7.9,2,0.3,178,61,0.5,18,11,0,0,0,0,0,0,27.3,810,53,0,0,0,기본현황,2021-07-30
2016,23,410,117,2,45,2,120,720,230,41.2,590,43,1,26.5,6,0,0,0,10.1,182.3,7,0,0,0,0,0,0,18.2,433.5,28,0,0,0,14.3,568.1,35,15.7,142.5,115,5.9,55,85,0,0,0,6.6,147.6,20,50.2,1403,60,0,0,0,50.2,1403,60,0.6,7.9,2,0.3,178,61,0.5,18,11,0,0,0,0,0,0,28,740.1,49,0,0,0,기본현황,2021-07-30
2017,29,688,122,4,103,21,95,570,495,28,519,161,1,53,8,47,1844,50,45,3209,830,12,405,219,0,0,0,18,433,28,1,161,61,17,871,30,50,221,893,16,709,446,9,546,301,9,335,184,68,1248,1177,0,0,0,87,159,1209,0.6,8,2,0.3,178,61,0.5,18,11,0,0,0,0,0,0,30,1028,60,0,0,0,기본현황,2021-07-30
2018,32,760,122,4,103,21,95,570,495,28,519,161,31,1669,1120,53,1863,50,45,3209,830,12,405,219,0,0,0,18,433,28,1,161,61,17,871,30,50,221,893,16,709,446,9,546,301,9,335,184,68,1248,1177,0,0,0,87,159,1209,0.15,2,1,0.9,130,61,0.5,18,11,0.01,3,1,0.6,6,2,30,1028,60,804,4052,1250,기본현황,2021-07-30
2019,35,760,125,4,103,21,95,570,495,28,519,161,1,53,8,53,1863,50,45,3209,830,12,405,219,3,30,118,18,433,28,1,161,61,1,205,5,50,221,893,16,709,446,9,546,301,9,335,184,68,1248,1177,35,490,1241,87,150,1209,0.15,2,1,0.9,130,61,0.5,18,41,0.01,3,1,0.6,6,2,30,1028,60,775,4032,1149,기본현황,2021-07-30
2020,35,760,125,4,103,21,95,570,495,28,519,161,15,808,556,53,1863,50,44,3089,821,8,270,206,3,30,118,18,433,28,1,161,61,17,871,30,48,135,876,16,709,446,9,546,301,9,335,184,68,1248,1177,35,490,1241,87,150,1209,0.15,2,1,0.9,130,61,0.5,18,41,0.01,3,1,0.3,6,2,30,1028,60,775,4032,1147,기본현황,2021-07-30
2021,30.4,585.2,78,0.7,0.6,2,143.8,784.4,254,9.5,46.3,29,1,66,8,53,2050,50,45,3720,821,7,240,180,2,33,105,15,253,11,1,150,55,5,203,11,40,110,710,12,600,490,7,490,290,8,300,170,50,1120,960,25,490,1010,85,165,1209,0.2,2,2,1,117,55,0.5,23,37,0,0,0,0.6,6,2,30,1130,60,787,3660,1190,기본현황,2021-07-30
