시점,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2013,28.8,31.7,48.3,74.2,101.2,106,173.6,125,117.4,91.6,41.3,18.8
2014,11.1,24.5,83,94.6,29.6,67,88.9,402.7,120.9,127.8,53.1,13.6
2015,25.4,21.3,44.2,82.4,30.6,84.6,139.9,117.9,52.5,44.3,118.7,32.3
2016,23.1,32.8,47.3,150.5,61.4,47.4,272.5,99.2,256.2,126.4,25.7,56.5
2017,11.5,36.9,26.6,74.2,20.9,45.4,227.3,183.5,96.2,66.2,5.7,16.4
2018,19.4,31.6,114.4,130.3,92,90.5,241.2,233.8,125,186.6,29.7,32.5
2019,12.6,29.5,42.2,83.9,39.2,153.3,168.2,133.7,201.3,207.7,38.6,26.1
2020,82,60.1,22.6,36.3,72.2,151.3,397.2,291.3,184.9,13.1,37.7,9.4
